ratio	huge-per-pkt	norm-per-pkt	huge	norm	event
0.0	0.0	0.0	0	0	arm_cmn/hnf_ld_st_swp_adq_full,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_ld_st_swp_adq_full,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_ld_st_swp_adq_full,nodeid=0x48/
1.2141	0.076	0.0626	7538603	6209099	arm_cmn/hnf_mc_reqs,nodeid=0x24/
1.2157	0.0777	0.0639	7710766	6342539	arm_cmn/hnf_mc_reqs,nodeid=0x28/
1.2011	0.0776	0.0646	7702354	6412601	arm_cmn/hnf_mc_reqs,nodeid=0x44/
1.277	0.0775	0.0607	7691996	6023331	arm_cmn/hnf_mc_reqs,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_mc_retries,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_mc_retries,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_mc_retries,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_mc_retries,nodeid=0x48/
0.8286	0.001	0.0013	103999	125517	arm_cmn/hnf_pocq_addrhaz,nodeid=0x24/
0.8931	0.001	0.0011	99293	111172	arm_cmn/hnf_pocq_addrhaz,nodeid=0x28/
0.8428	0.001	0.0012	100715	119499	arm_cmn/hnf_pocq_addrhaz,nodeid=0x44/
0.882	0.0011	0.0012	105173	119249	arm_cmn/hnf_pocq_addrhaz,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_pocq_atomic_addrhaz,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_pocq_atomic_addrhaz,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_pocq_atomic_addrhaz,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_pocq_atomic_addrhaz,nodeid=0x48/
0.9698	4.9607	5.1154	492101184	507448007	arm_cmn/hnf_pocq_reqs_recvd,nodeid=0x24/
0.9681	5.0523	5.2189	501186377	517710719	arm_cmn/hnf_pocq_reqs_recvd,nodeid=0x28/
0.9731	5.0116	5.15	497146736	510877298	arm_cmn/hnf_pocq_reqs_recvd,nodeid=0x44/
0.9741	5.1212	5.2573	508020302	521522832	arm_cmn/hnf_pocq_reqs_recvd,nodeid=0x48/
0.0	0.0	0.0	24	0	arm_cmn/hnf_pocq_retry,nodeid=0x24/
7.0	0.0	0.0	7	1	arm_cmn/hnf_pocq_retry,nodeid=0x28/
0.0	0.0	0.0	34	0	arm_cmn/hnf_pocq_retry,nodeid=0x44/
1.125	0.0	0.0	18	16	arm_cmn/hnf_pocq_retry,nodeid=0x48/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_hh_retry,nodeid=0x24/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_hh_retry,nodeid=0x28/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_hh_retry,nodeid=0x44/
0.0	0.0	0.0	0	0	arm_cmn/hnf_qos_hh_retry,nodeid=0x48/
0.9759	1.1321	1.16	112302343	115071068	arm_cmn/hnf_qos_pocq_occupancy_all,nodeid=0x24/
0.9736	1.2262	1.2595	121636366	124937640	arm_cmn/hnf_qos_pocq_occupancy_all,nodeid=0x28/
0.9787	1.2133	1.2397	120357602	122974208	arm_cmn/hnf_qos_pocq_occupancy_all,nodeid=0x44/
