	1.12500,15.094
	1.25000,15.097
	1.37500,15.096
	1.50000,15.099
	1.62500,15.102
	1.75000,15.112
	1.87500,15.115
	2.00000,15.263
	2.25000,22.281
	2.50000,26.031
	2.75000,28.401
	3.00000,30.145
	3.25000,31.425
	3.50000,32.514
	3.75000,33.407
	4.00000,34.024
	4.50000,35.243
	5.00000,36.072
	5.50000,36.748
	6.00000,37.290
	6.50000,37.727
	7.00000,38.100
	7.50000,38.485
	8.00000,38.747
	9.00000,40.876
	10.00000,49.670
	11.00000,60.659
	12.00000,70.377
	13.00000,78.010
	14.00000,84.143
	15.00000,88.917
	16.00000,93.050
	18.00000,99.031
	20.00000,103.123
	22.00000,106.108
	24.00000,108.345
	26.00000,110.095
	28.00000,111.341
	30.00000,112.469
	32.00000,113.284
	36.00000,114.343
	40.00000,114.845
	44.00000,115.200
	48.00000,115.561
	52.00000,115.654
	56.00000,116.174
	60.00000,116.264
	64.00000,116.409
	72.00000,116.558
	80.00000,116.673
	88.00000,116.615
	96.00000,116.670
	104.00000,116.640
	112.00000,116.535
	120.00000,116.502
	128.00000,116.502
	144.00000,116.404
	160.00000,116.547
	176.00000,116.404
	192.00000,116.481
	208.00000,116.345
	224.00000,116.421
	240.00000,116.281
	256.00000,116.365
	288.00000,116.285
	320.00000,116.321
	352.00000,116.256
	384.00000,116.319
	416.00000,116.167
	448.00000,116.215
	480.00000,116.164
	512.00000,116.225
	576.00000,116.177
	640.00000,116.209
	704.00000,116.231
	768.00000,116.290
	832.00000,116.104
	896.00000,116.213
	960.00000,116.212
	1024.00000,116.282
